date,device,country,sessions,dead_clicks,rage_clicks,excessive_scrolls,javascript_errors
2025-01-01,mobile,SA,386,7,1,2,1
2025-01-02,desktop,SA,314,3,1,10,3
2025-01-03,tablet,SA,275,5,4,9,1
2025-01-04,mobile,SA,344,5,1,9,0
2025-01-05,desktop,SA,327,1,3,12,3
2025-01-06,tablet,SA,358,5,3,2,3
2025-01-07,mobile,SA,285,2,3,8,0
2025-01-08,desktop,SA,417,5,0,12,0
2025-01-09,tablet,SA,306,2,0,12,3
2025-01-10,mobile,SA,317,8,2,8,0
2025-01-11,desktop,SA,280,8,0,10,0
2025-01-12,tablet,SA,299,0,0,1,2
2025-01-13,mobile,SA,332,4,0,1,2
2025-01-14,desktop,SA,412,1,0,8,1
2025-01-15,tablet,SA,403,6,0,10,2
2025-01-16,mobile,SA,394,5,1,13,0
2025-01-17,desktop,SA,353,6,4,5,2
2025-01-18,tablet,SA,323,7,2,8,2
2025-01-19,mobile,SA,295,5,0,11,3
2025-01-20,desktop,SA,281,1,4,3,2
2025-01-21,tablet,SA,374,4,1,12,3
2025-01-22,mobile,SA,275,5,4,12,0
2025-01-23,desktop,SA,422,4,4,4,1
2025-01-24,tablet,SA,340,5,0,3,2
2025-01-25,mobile,SA,338,8,3,6,0
2025-01-26,desktop,SA,353,0,2,13,2
2025-01-27,tablet,SA,306,0,4,10,3
2025-01-28,mobile,SA,282,2,4,13,1
2025-01-29,desktop,SA,331,0,3,3,3
2025-01-30,tablet,SA,326,8,0,3,0
2025-01-31,mobile,SA,342,3,4,7,3
2025-02-01,desktop,SA,359,8,2,1,2
2025-02-02,tablet,SA,388,4,1,1,2
2025-02-03,mobile,SA,268,7,3,9,3
2025-02-04,desktop,SA,367,4,0,7,0
2025-02-05,tablet,SA,394,5,2,9,1
2025-02-06,mobile,SA,402,2,0,7,1
2025-02-07,desktop,SA,315,5,1,7,3
2025-02-08,tablet,SA,300,6,1,4,3
2025-02-09,mobile,SA,285,3,2,2,0
2025-02-10,desktop,SA,335,2,2,6,2
2025-02-11,tablet,SA,328,1,4,7,1
2025-02-12,mobile,SA,354,1,4,10,3
2025-02-13,desktop,SA,368,5,0,8,2
2025-02-14,tablet,SA,316,0,3,5,3
2025-02-15,mobile,SA,293,2,4,1,0
2025-02-16,desktop,SA,334,7,4,12,1
2025-02-17,tablet,SA,349,4,4,9,1
2025-02-18,mobile,SA,277,3,2,4,1
2025-02-19,desktop,SA,268,7,4,13,1
2025-02-20,tablet,SA,312,0,0,3,3
2025-02-21,mobile,SA,289,0,3,3,1
2025-02-22,desktop,SA,313,4,0,12,1
2025-02-23,tablet,SA,322,0,4,5,3
2025-02-24,mobile,SA,342,0,0,13,2
2025-02-25,desktop,SA,332,5,1,3,3
2025-02-26,tablet,SA,343,8,1,9,1
2025-02-27,mobile,SA,393,6,1,8,3
2025-02-28,desktop,SA,316,4,4,7,2
2025-03-01,tablet,SA,434,3,4,5,1
